"NUMBER","LINKS"
0,"https://ak.wikipedia.org/
"
1,"https://arc.wikipedia.org/
"
2,"https://ba.wikipedia.org/
"
3,"https://be.wikipedia.org/
"
4,"https://bi.wikipedia.org/
"
5,"https://bpy.wikipedia.org/
"
6,"https://cbk-zam.wikipedia.org/
"
7,"https://cs.wikipedia.org/
"
8,"https://da.wikipedia.org/
"
9,"https://el.wikipedia.org/
"
10,"https://en.wikipedia.org/wiki/Aromanian_language
"
11,"https://et.wikipedia.org/
"
12,"https://fiu-vro.wikipedia.org/
"
13,"https://fiu-vro.wikipedia.org/wiki/Wikipedia:P%C3%A4%C3%A4leht
"
14,"https://fo.wikipedia.org/
"
15,"https://frp.wikipedia.org/wiki/
"
16,"https://gl.wikipedia.org/
"
17,"https://got.wikipedia.org/
"
18,"https://hif.wikipedia.org/
"
19,"https://hu.wikipedia.org/
"
20,"https://ia.wikipedia.org/
"
21,"https://ie.wikipedia.org/
"
22,"https://ik.wikipedia.org/
"
23,"https://ja.wikipedia.org/
"
24,"https://kg.wikipedia.org/
"
25,"https://kk.wikipedia.org/
"
26,"https://km.wikipedia.org/
"
27,"https://ko.wikipedia.org/wiki/%EC%9C%84%ED%82%A4%EB%B0%B1%EA%B3%BC:%EB%8C%80%EB%AC%B8
"
28,"https://krc.wikipedia.org/
"
29,"https://ku.wikipedia.org/
"
30,"https://lad.wikipedia.org/
"
31,"https://lez.wikipedia.org/
"
32,"https://li.wikipedia.org/
"
33,"https://lmo.wikipedia.org/
"
34,"https://mai.wikipedia.org/
"
35,"https://mg.wikipedia.org/
"
36,"https://mk.wikipedia.org/
"
37,"https://mr.wikipedia.org/
"
38,"https://mwl.wikipedia.org/
"
39,"https://no.wikipedia.org/
"
40,"https://nso.wikipedia.org/
"
41,"https://oc.wikipedia.org/
"
42,"https://pag.wikipedia.org/
"
43,"https://pt.wikipedia.org/
"
44,"https://rmy.wikipedia.org/
"
45,"https://ru.wikipedia.org/
"
46,"https://sa.wikipedia.org/
"
47,"https://sh.wikipedia.org/wiki/
"
48,"https://sl.wikipedia.org/
"
49,"https://sv.wikipedia.org/wiki/freden_i_Traventhal
"
50,"https://te.wikipedia.org/
"
51,"https://tr.wikipedia.org/
"
52,"https://tt.wikipedia.org/
"
53,"https://ug.wikipedia.org/
"
54,"https://vo.wikipedia.org/wiki/
"
55,"https://www.wikipedia.org/
"
56,"https://www.wikipedia.org/w/index.php?title=%D7%A4%D7%95%D7%9C%D7%99%D7%98%D7%99%D7%A7%D7%94&action=edit&redlink=1
"
57,"https://www.wikipedia.org/w/index.php?title=1811&action=history
"
58,"https://www.wikipedia.org/w/index.php?title=Mani&action=edit&redlink=1
"
59,"https://www.wikipedia.org/w/index.php?title=Te_%C3%B2hipa_r%C4%81tere&action=edit&redlink=1
"
60,"https://www.wikipedia.org/wiki/%D0%88%D1%83%D0%B6%D0%B5%D0%BD_%D0%A1%D1%83%D0%B4%D0%B0%D0%BD
"
61,"https://www.wikipedia.org/wiki/%D0%92%D0%B8%D0%BA%D0%B8%D0%BF%D0%B5%D0%B4%D0%B8%D1%8F:%D0%AD%D1%82%D0%B8%D0%BA%D0%B5%D1%82
"
62,"https://www.wikipedia.org/wiki/%D0%97%D0%B0%D0%B3%D0%BB%D0%B0%D0%B2%D0%BD%D0%B0%D1%8F_%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%B8%D1%86%D0%B0
"
63,"https://www.wikipedia.org/wiki/%D0%9A%D0%B0%D1%82%D0%B5%D2%91%D0%BE%D1%80%D1%96%D1%8F:%D0%93%D0%BE%D0%BB%D0%BE%D0%B2%D0%BD%D0%B0
"
64,"https://www.wikipedia.org/wiki/%D0%9A%D1%8A%D1%83%D0%BB%D0%BB%D1%83%D0%BA%D1%8A:%D0%91%D0%B0%D0%B9%D0%BB%D0%B0%D0%BC%D0%BB%D1%8B_%D1%82%D1%8E%D1%80%D0%BB%D0%B5%D0%BD%D0%B8%D1%83%D0%BB%D0%B5/%D0%91%D0%B0%D1%88_%D0%B1%D0%B5%D1%82
"
65,"https://www.wikipedia.org/wiki/%D0%9C%D0%B5%D0%BD%D1%81%D0%BA_(%D0%BA%D0%B0%D0%BC%D0%BF%D1%83%D1%82%D0%B0%D1%80%D0%BD%D0%B0%D1%8F_%D0%B3%D1%83%D0%BB%D1%8C%D0%BD%D1%8F)
"
66,"https://www.wikipedia.org/wiki/%D0%AD%D1%82%D0%BD%D0%BE%D0%B3%D1%80%D0%B0%D1%84
"
67,"https://www.wikipedia.org/wiki/%D4%B1%D5%B6%D5%A3%D5%AC%D5%AB%D5%A1
"
68,"https://www.wikipedia.org/wiki/%D9%BE%D9%88%D8%B4%DB%81%D9%90_%D9%86%D9%88%D9%97%D9%84
"
69,"https://www.wikipedia.org/wiki/%E0%A4%B5%E0%A4%B0%E0%A5%8D%E0%A4%97:%E0%A4%B9%E0%A4%BF%E0%A4%82%E0%A4%A6%E0%A5%82_%E0%A4%A7%E0%A4%B0%E0%A5%8D%E0%A4%AE
"
70,"https://www.wikipedia.org/wiki/%E0%A6%AC%E0%A6%BF%E0%A6%B6%E0%A7%87%E0%A6%B7:%E0%A6%B8%E0%A6%95%E0%A6%B2%E0%A7%8B%E0%A6%AC%E0%A7%8B%E0%A7%B0_%E0%A6%AA%E0%A7%83%E0%A6%B7%E0%A7%8D%E0%A6%A0%E0%A6%BE/%E0%A7%8E
"
71,"https://www.wikipedia.org/wiki/%E0%A8%B8%E0%A8%BC%E0%A9%8D%E0%A8%B0%E0%A9%87%E0%A8%A3%E0%A9%80:%E0%A8%AE%E0%A8%BF%E0%A8%A5%E0%A8%BF%E0%A8%B9%E0%A8%BE%E0%A8%B8
"
72,"https://www.wikipedia.org/wiki/%E0%B8%AD%E0%B8%B1%E0%B8%9F%E0%B8%81%E0%B8%B2%E0%B8%99%E0%B8%B4%E0%B8%AA%E0%B8%96%E0%B8%B2%E0%B8%99
"
73,"https://www.wikipedia.org/wiki/%E1%BB%8A%CC%80ta_%C7%B9ke_mm%E1%BB%A5%CC%80z%C3%B9_Texas_A%26M
"
74,"https://www.wikipedia.org/wiki/1203
"
75,"https://www.wikipedia.org/wiki/1925
"
76,"https://www.wikipedia.org/wiki/Ateisme
"
77,"https://www.wikipedia.org/wiki/Categor%C3%AEa:Zeughi
"
78,"https://www.wikipedia.org/wiki/Ficheiro:Las_Dos_Marias_of_La_Alameda_de_Santiago_de_Compostela.jpg
"
79,"https://www.wikipedia.org/wiki/File:Kano_State,_road_in_Kano_10.jpg
"
80,"https://www.wikipedia.org/wiki/Flokkur:Verslun
"
81,"https://www.wikipedia.org/wiki/Gro%C3%9Fherzogtum_Baden
"
82,"https://www.wikipedia.org/wiki/IZimbabwe
"
83,"https://www.wikipedia.org/wiki/Kategori:Cengi
"
84,"https://www.wikipedia.org/wiki/Kelh%C3%BBr%C3%AE
"
85,"https://www.wikipedia.org/wiki/Kookolo_w%27Ekibumba
"
86,"https://www.wikipedia.org/wiki/M%C3%A8t%C3%A8orologia
"
87,"https://www.wikipedia.org/wiki/Manokana:Pejy_vaovao
"
88,"https://www.wikipedia.org/wiki/Portaal:Meditsiin
"
89,"https://www.wikipedia.org/wiki/Portal:Teknologi
"
90,"https://www.wikipedia.org/wiki/Rakousk%C3%A9_c%C3%ADsa%C5%99stv%C3%AD
"
91,"https://www.wikipedia.org/wiki/Special:SpecialPages
"
92,"https://www.wikipedia.org/wiki/Stefan_L%C3%B6fven
"
93,"https://www.wikipedia.org/wiki/Tomab%C3%AElu
"
94,"https://www.wikipedia.org/wiki/Uzalutno:Toate_paginile/J
"
95,"https://www.wikipedia.org/wiki/Veneteg
"
96,"https://www.wikipedia.org/wiki/Wikipedia:%E7%A7%80%E9%80%B8%E3%81%AA%E7%94%BB%E5%83%8F%E3%81%AE%E6%8E%A8%E8%96%A6
"
97,"https://yo.wikipedia.org/
"
98,"https://zea.wikipedia.org/
"
99,"https://zh.wikipedia.org/wiki/Wikipedia:%E9%A6%96%E9%A1%B5
"
100,""
